player_name,age,nationality,club,league,position,market_value,goals,assists,minutes_played,passing_accuracy,tackles,interceptions,dribbles,cluster_id,cluster_label
Dušan Fernandes,28,Wales,Reims,Ligue 1,Midfielder,67.3,1.0,2.0,937.0,80.7,14.7,20.2,11.2,4,Defensive Anchors
William Dias,19,France,Fiorentina,Serie A,Winger,141.4,6.0,5.0,974.0,83.5,6.2,1.9,27.4,3,Creative Playmakers
Harry Grealish,29,Italy,Marseille,Ligue 1,Defender,24.1,0.0,0.0,1173.0,89.3,26.7,24.7,6.3,4,Defensive Anchors
Thibaut Griezmann,22,Algeria,Marseille,Ligue 1,Midfielder,234.5,2.0,14.0,2331.0,88.0,17.8,13.0,34.4,0,Dynamic Wingers
Marc-André Donnarumma,22,Wales,Marseille,Ligue 1,Midfielder,68.6,2.0,1.0,553.0,80.9,9.0,6.5,12.3,3,Creative Playmakers
James Wirtz,21,Norway,Marseille,Ligue 1,Winger,400.2,18.0,15.0,2969.0,76.9,10.5,25.0,99.0,0,Dynamic Wingers
Trent Valverde,33,Ireland,Real Madrid,La Liga,Defender,62.0,2.0,3.0,1295.0,80.5,37.8,25.7,22.5,4,Defensive Anchors
Dušan Kane,27,Argentina,Bayern Munich,Bundesliga,Forward,305.6,22.0,4.0,2946.0,78.5,12.1,11.7,35.3,2,Clinical Finishers
Alisson Leão,21,Morocco,Rennes,Ligue 1,Defender,216.8,1.0,1.0,2292.0,89.6,51.7,54.8,7.9,1,Ball Winners
Rodri Szoboszlai,30,Ireland,Liverpool,English Premier League,Forward,37.3,20.0,4.0,2221.0,80.7,8.0,11.2,28.7,2,Clinical Finishers
Bruno Osimhen,31,Sweden,Torino,Serie A,Midfielder,8.6,0.0,3.0,543.0,89.0,4.0,8.7,14.5,4,Defensive Anchors
Alisson Wirtz,31,Algeria,Brest,Ligue 1,Midfielder,27.0,3.0,4.0,1132.0,85.5,32.3,28.9,24.8,4,Defensive Anchors
Bruno Kudus,19,England,Nice,Ligue 1,Winger,326.7,12.0,14.0,2786.0,83.7,17.3,22.9,99.7,0,Dynamic Wingers
Antoine ter Stegen,29,Wales,Torino,Serie A,Winger,30.7,2.0,1.0,438.0,78.5,4.5,3.1,17.7,3,Creative Playmakers
Mohamed Oblak,34,Morocco,Chelsea,English Premier League,Forward,24.2,4.0,1.0,533.0,77.2,1.9,0.4,12.3,3,Creative Playmakers
Antoine Lewandowski,35,Georgia,Man City,English Premier League,Winger,92.4,6.0,7.0,1566.0,80.4,22.5,3.1,43.1,3,Creative Playmakers
Federico Osimhen,25,Algeria,Dortmund,Bundesliga,Winger,320.6,10.0,9.0,3145.0,78.0,20.5,15.5,65.6,0,Dynamic Wingers
Rafael van Dijk,31,Egypt,Lens,Ligue 1,Winger,21.4,17.0,14.0,3330.0,78.6,49.1,26.4,70.6,0,Dynamic Wingers
Diogo Modrić,32,Croatia,Roma,Serie A,Winger,2.7,2.0,2.0,462.0,80.3,1.9,0.9,10.9,3,Creative Playmakers
Rasmus Bellingham,23,Egypt,Marseille,Ligue 1,Forward,248.8,25.0,4.0,3124.0,73.1,8.5,5.7,33.6,2,Clinical Finishers
Romelu Koopmeiners,25,Netherlands,Valencia,La Liga,Winger,159.2,4.0,3.0,837.0,83.4,8.4,4.8,36.3,3,Creative Playmakers
Dejan Páez,32,England,Monaco,Ligue 1,Midfielder,24.8,1.0,1.0,834.0,82.8,32.55,14.7,13.1,4,Defensive Anchors
Leroy Kvaratskhelia,27,Denmark,Tottenham,English Premier League,Forward,455.8,22.0,8.0,3347.0,80.0,5.4,2.6,57.8,2,Clinical Finishers
Granit Páez,33,Argentina,Hoffenheim,Bundesliga,Defender,10.3,2.0,1.0,2119.0,89.0,49.7,47.6,1.6,4,Defensive Anchors
Marc-André González,23,Norway,Rennes,Ligue 1,Defender,282.8,2.0,7.0,2793.0,83.2,51.6,71.3,52.1,1,Ball Winners
Thibaut Maddison,34,Algeria,Leverkusen,Bundesliga,Defender,17.3,0.0,0.0,1024.0,86.3,30.4,33.7,2.5,4,Defensive Anchors
William Moraes,36,Netherlands,Lazio,Serie A,Winger,15.0,12.0,7.0,2810.0,78.9,27.7,9.6,76.4,0,Dynamic Wingers
Darwin James,24,Wales,Sevilla,La Liga,Forward,405.6,19.0,6.0,2472.0,76.5,4.4,8.0,41.1,2,Clinical Finishers
Joshua Müller,22,Portugal,Wolfsburg,Bundesliga,Defender,142.2,1.0,1.0,2161.0,88.5,53.5,43.8,2.9,4,Defensive Anchors
Jan Oblak,26,Ireland,Juventus,Serie A,Midfielder,191.4,4.0,4.0,1463.0,87.6,25.4,33.8,40.2,4,Defensive Anchors
Bernardo Oblak,19,Georgia,Napoli,Serie A,Winger,336.2,10.0,5.0,1858.0,84.6,22.3,5.8,73.6,0,Dynamic Wingers
William Donnarumma,23,England,Bologna,Serie A,Forward,239.0,17.0,3.0,2426.0,75.9,13.0,8.0,22.7,2,Clinical Finishers
Thibaut James,26,Argentina,Inter,Serie A,Forward,486.0,22.0,4.0,2765.0,82.1,24.4,4.4,35.2,2,Clinical Finishers
Mike Donnarumma,25,Argentina,Tottenham,English Premier League,Winger,559.0,6.0,6.0,2251.0,83.0,25.8,12.3,66.6,0,Dynamic Wingers
Harry Wirtz,25,Nigeria,Atalanta,Serie A,Forward,119.1,9.0,3.0,1446.0,74.6,6.0,4.6,9.9,3,Creative Playmakers
Alejandro Saka,20,Netherlands,Napoli,Serie A,Winger,417.0,5.0,10.0,1871.0,79.4,23.2,10.9,87.2,0,Dynamic Wingers
Lautaro Szoboszlai,18,South Korea,Frankfurt,Bundesliga,Winger,134.1,5.0,3.0,916.0,83.0,4.3,7.1,21.4,3,Creative Playmakers
Jude Leão,32,Belgium,Bayern Munich,Bundesliga,Midfielder,15.9,1.0,1.0,494.0,82.0,10.3,7.0,11.4,3,Creative Playmakers
Dejan Min-son,28,Italy,Villarreal,La Liga,Winger,211.4,4.0,6.0,1384.0,80.5,6.3,11.5,56.8,3,Creative Playmakers
Paulo Fernandes,36,Japan,Chelsea,English Premier League,Midfielder,33.1,1.0,11.0,1830.0,91.6,11.2,28.7,52.2,0,Dynamic Wingers
Vinicius Kulusevski,26,Scotland,Brighton,English Premier League,Defender,752.3,1.0,0.0,2760.0,86.7,102.9,111.3,8.0,1,Ball Winners
Granit Moraes,29,Ivory Coast,Atalanta,Serie A,Defender,9.9,0.0,0.0,424.0,85.8,15.1,10.4,0.7,4,Defensive Anchors
Alexander Lewandowski,25,Croatia,Man United,English Premier League,Midfielder,311.1,2.0,3.0,1351.0,85.0,29.0,33.8,24.4,4,Defensive Anchors
Bruno Sané,36,Belgium,Newcastle,English Premier League,Forward,4.1,4.0,1.0,454.0,73.5,2.8,1.2,2.7,3,Creative Playmakers
Harry Jota,20,Senegal,Napoli,Serie A,Winger,513.7,17.0,8.0,3208.0,81.2,20.0,7.7,85.0,0,Dynamic Wingers
Trent Eriksen,22,Wales,Marseille,Ligue 1,Defender,296.7,1.0,1.0,2401.0,90.6,53.9,94.1,9.1,1,Ball Winners
Rasmus Lewandowski,28,Germany,Atletico Madrid,La Liga,Midfielder,157.9,1.0,4.0,795.0,87.3,12.7,5.7,24.3,4,Defensive Anchors
Khvicha Moraes,31,Ireland,Arsenal,English Premier League,Midfielder,115.7,5.0,14.0,2973.0,86.3,18.7,43.6,91.6,0,Dynamic Wingers
Jamal Garnacho,35,Scotland,Real Sociedad,La Liga,Forward,12.8,14.0,5.0,3381.0,76.5,22.7,3.7,27.7,2,Clinical Finishers
Harry Hernández,30,Morocco,Marseille,Ligue 1,Winger,33.7,12.0,7.0,2108.0,82.5,17.9,8.9,96.0,0,Dynamic Wingers
Eduardo Leão,28,Brazil,Bologna,Serie A,Forward,51.4,3.0,1.0,586.0,76.2,3.7,3.1,11.4,3,Creative Playmakers
Robert Oblak,30,Argentina,Sevilla,La Liga,Winger,26.9,7.0,6.0,1924.0,78.5,23.0,11.5,62.1,0,Dynamic Wingers
Jeremie Silva,23,France,Stuttgart,Bundesliga,Forward,520.8,15.0,9.0,3264.0,75.8,8.3,10.7,72.0,0,Dynamic Wingers
Alejandro Tchouaméni,35,Morocco,Wolfsburg,Bundesliga,Forward,12.0,8.0,4.0,1961.0,82.0,4.9,6.7,44.8,3,Creative Playmakers
Bruno Maddison,25,Switzerland,Lazio,Serie A,Forward,372.2,24.0,2.0,3041.0,75.9,15.7,11.5,54.2,2,Clinical Finishers
Alex Salah,22,Argentina,Real Betis,La Liga,Midfielder,129.6,1.0,2.0,763.0,86.3,32.55,16.4,17.3,4,Defensive Anchors
Dominik Kimmich,19,South Korea,Lazio,Serie A,Forward,213.4,15.0,4.0,1697.0,83.0,6.5,7.5,22.3,2,Clinical Finishers
Luis Rashford,24,Sweden,PSG,Ligue 1,Winger,299.0,10.0,7.0,2450.0,83.4,29.6,14.5,67.1,0,Dynamic Wingers
Ruben Isak,21,Italy,Torino,Serie A,Forward,428.9,13.0,5.0,2508.0,82.8,20.0,8.9,56.7,2,Clinical Finishers
Kevin Moraes,25,Sweden,Lens,Ligue 1,Forward,110.6,9.0,2.0,1789.0,72.9,4.6,8.0,21.8,3,Creative Playmakers
Alexander Fernandes,20,Sweden,Real Madrid,La Liga,Forward,190.3,14.0,5.0,2314.0,79.0,5.3,10.7,22.7,2,Clinical Finishers
Christian Saliba,22,France,Fiorentina,Serie A,Defender,398.2,2.0,4.0,3082.0,84.7,56.7,54.6,72.1,1,Ball Winners
Leroy Bellingham,33,Algeria,Girona,La Liga,Forward,66.3,16.0,2.0,2111.0,81.1,10.5,6.2,35.3,2,Clinical Finishers
Harry Vlahović,23,Senegal,Napoli,Serie A,Defender,426.1,2.0,1.0,2800.0,90.5,95.1,96.3,10.2,1,Ball Winners
Alex Becker,36,Ireland,Valencia,La Liga,Defender,21.9,2.0,0.0,2810.0,90.4,103.0,84.8,1.7,1,Ball Winners
Reece Maignan,30,Egypt,Lazio,Serie A,Winger,76.3,10.0,5.0,1656.0,81.0,24.4,4.0,74.5,0,Dynamic Wingers
Gianluigi James,29,Wales,Brighton,English Premier League,Winger,202.1,8.0,7.0,3152.0,83.4,48.7,20.6,100.5,0,Dynamic Wingers
Martin Leão,28,Norway,Torino,Serie A,Midfielder,214.1,2.0,2.0,1853.0,86.1,49.3,62.0,23.3,1,Ball Winners
Pedri Martínez,20,Croatia,Hoffenheim,Bundesliga,Defender,179.3,1.0,1.0,1388.0,91.7,48.9,39.7,2.9,4,Defensive Anchors
Teun ter Stegen,20,Croatia,Newcastle,English Premier League,Defender,268.3,1.0,1.0,2209.0,84.4,53.2,44.2,2.9,4,Defensive Anchors
Mohamed Donnarumma,29,Scotland,Wolfsburg,Bundesliga,Midfielder,71.6,2.0,1.0,3363.0,87.4,129.2,73.6,36.2,1,Ball Winners
Kylian Rice,30,Croatia,Monaco,Ligue 1,Winger,102.4,7.0,10.0,1743.0,81.9,19.8,12.4,79.1,0,Dynamic Wingers
Bernardo Müller,34,Italy,Chelsea,English Premier League,Winger,32.3,13.0,10.0,2539.0,79.7,18.6,13.7,56.7,0,Dynamic Wingers
Eduardo González,24,France,Valencia,La Liga,Winger,85.4,2.0,1.0,542.0,75.2,6.0,3.7,11.3,3,Creative Playmakers
Romelu Müller,35,Italy,Real Sociedad,La Liga,Winger,15.2,3.0,1.0,510.0,83.8,5.1,3.9,16.4,3,Creative Playmakers
William Hernández,29,Uruguay,Liverpool,English Premier League,Winger,73.7,4.0,3.0,1149.0,82.7,13.1,6.0,40.0,3,Creative Playmakers
Luis Moraes,20,Cameroon,Atletico Madrid,La Liga,Midfielder,155.9,1.0,3.0,844.0,91.6,5.7,13.7,16.4,4,Defensive Anchors
Robert Maignan,35,Croatia,Fiorentina,Serie A,Defender,12.0,1.0,1.0,1673.0,88.4,60.0,56.5,9.2,1,Ball Winners
Mohamed Modrić,25,Scotland,Liverpool,English Premier League,Winger,673.0,15.0,7.0,2547.0,76.6,38.7,7.6,109.0,0,Dynamic Wingers
Mike Saliba,24,Morocco,Bayern Munich,Bundesliga,Midfielder,194.6,2.0,7.0,1237.0,86.3,16.3,10.4,32.9,4,Defensive Anchors
Dejan Dybala,28,Germany,Atalanta,Serie A,Winger,497.8,13.0,10.0,3039.0,83.1,26.1,10.5,110.8,0,Dynamic Wingers
Victor Musiala,32,England,Leipzig,Bundesliga,Forward,11.9,17.0,4.0,2055.0,81.3,5.6,2.3,21.9,2,Clinical Finishers
Robert Camavinga,18,Ireland,Atalanta,Serie A,Forward,121.7,8.0,2.0,1482.0,70.5,3.4,8.1,35.3,3,Creative Playmakers
Mohamed Leão,24,Senegal,Milan,Serie A,Midfielder,225.6,2.0,3.0,1717.0,85.6,32.1,38.3,41.2,4,Defensive Anchors
Jude Kulusevski,19,Norway,Valencia,La Liga,Winger,630.8,8.0,13.0,2561.0,83.5,32.6,6.4,105.5,0,Dynamic Wingers
Paulo Saliba,33,England,Brighton,English Premier League,Winger,21.8,6.0,4.0,1409.0,83.5,21.8,10.0,31.6,4,Defensive Anchors
Kevin Griezmann,23,France,Sevilla,La Liga,Midfielder,174.1,3.0,4.0,1250.0,88.9,5.7,10.5,23.1,4,Defensive Anchors
Mike Vlahović,34,Croatia,Atalanta,Serie A,Winger,155.8,10.0,14.0,3314.0,82.4,31.3,18.5,150.4,0,Dynamic Wingers
Eduardo Tchouaméni,29,England,Athletic Club,La Liga,Midfielder,106.4,4.0,5.0,2163.0,86.0,57.7,42.8,46.9,1,Ball Winners
Ruben Tchouaméni,21,Argentina,Bologna,Serie A,Forward,53.5,3.0,0.0,540.0,76.3,1.7,1.1,6.1,3,Creative Playmakers
Trent Barella,35,France,Aston Villa,English Premier League,Winger,15.2,2.0,3.0,749.0,76.0,7.3,5.1,17.1,3,Creative Playmakers
Nicolò Eriksen,24,Wales,Newcastle,English Premier League,Forward,269.9,8.0,1.0,1785.0,78.3,9.1,6.3,36.7,3,Creative Playmakers
Joshua Valverde,33,Croatia,Athletic Club,La Liga,Defender,12.8,1.0,1.0,449.0,83.0,8.7,10.2,7.1,4,Defensive Anchors
Dušan Júnior,34,Wales,Brest,Ligue 1,Defender,33.1,1.0,5.0,1946.0,77.5,39.5,32.7,35.4,4,Defensive Anchors
Florian Müller,34,Argentina,Stuttgart,Bundesliga,Defender,13.9,1.0,3.0,1641.0,77.7,31.7,44.5,19.5,4,Defensive Anchors
Thomas Eriksen,30,Croatia,Bayern Munich,Bundesliga,Defender,80.7,1.0,7.0,2964.0,84.9,87.0,62.6,41.3,1,Ball Winners
Jeremie Mbappé,23,Croatia,Milan,Serie A,Midfielder,265.6,1.0,4.0,2221.0,83.6,90.2,46.4,23.3,1,Ball Winners
Trent Hernández,34,Poland,Hoffenheim,Bundesliga,Defender,22.9,2.0,4.0,2962.0,85.8,53.7,72.6,61.7,1,Ball Winners
Alejandro González,35,Brazil,Tottenham,English Premier League,Defender,23.5,1.0,4.0,2907.0,78.1,63.4,52.1,43.1,1,Ball Winners
Diogo Casemiro,21,Switzerland,Atalanta,Serie A,Midfielder,405.1,2.0,2.0,2590.0,86.5,85.0,72.7,30.3,1,Ball Winners
Bukayo Casemiro,33,Netherlands,Werder Bremen,Bundesliga,Midfielder,18.6,2.0,5.0,1828.0,82.8,56.2,39.8,39.6,4,Defensive Anchors
Nicolò Saliba,18,Nigeria,Lille,Ligue 1,Midfielder,199.4,7.0,14.0,2930.0,85.1,31.7,31.1,46.2,0,Dynamic Wingers
Virgil Dybala,31,Sweden,Girona,La Liga,Defender,25.1,1.0,1.0,2284.0,84.55,46.35,84.2,6.5,1,Ball Winners
Paulo Díaz,32,Spain,Fiorentina,Serie A,Midfielder,7.2,1.0,2.0,548.0,85.6,7.5,6.6,13.0,4,Defensive Anchors
Phil Foden,21,Cameroon,Athletic Club,La Liga,Defender,220.6,1.0,4.0,1997.0,84.55,64.9,48.8,41.6,1,Ball Winners
Vinicius Júnior,27,Ireland,Villarreal,La Liga,Midfielder,136.5,2.0,7.0,1300.0,89.7,9.2,6.8,15.6,4,Defensive Anchors
Declan Courtois,21,France,Bayern Munich,Bundesliga,Defender,319.9,1.0,1.0,2168.0,90.1,82.0,89.2,9.7,1,Ball Winners
Mike Maddison,18,Germany,Valencia,La Liga,Defender,364.6,2.0,1.0,2679.0,86.5,77.7,62.5,13.4,1,Ball Winners
Rasmus Lukaku,29,Norway,Lyon,Ligue 1,Forward,8.5,4.0,0.0,486.0,70.9,0.6,2.6,9.5,3,Creative Playmakers
Declan Foden,32,Denmark,Juventus,Serie A,Midfielder,116.3,5.0,16.0,2889.0,84.6,29.2,15.8,61.8,0,Dynamic Wingers
Aurélien Guimarães,32,Switzerland,Inter,Serie A,Defender,64.1,1.0,11.0,3283.0,81.3,110.6,57.8,35.6,1,Ball Winners
Virgil Grealish,33,Cameroon,Valencia,La Liga,Midfielder,30.1,1.0,2.0,2720.0,85.9,92.3,80.5,43.3,1,Ball Winners
Romelu Silva,31,Croatia,Brest,Ligue 1,Winger,82.6,7.0,10.0,1967.0,76.8,19.6,12.3,50.9,0,Dynamic Wingers
Martin Páez,29,Argentina,Fiorentina,Serie A,Winger,119.6,8.0,9.0,3307.0,75.4,40.4,25.0,85.0,0,Dynamic Wingers
Pedri Xhaka,22,Japan,Newcastle,English Premier League,Midfielder,193.1,1.0,1.0,1102.0,89.9,43.2,36.1,6.0,4,Defensive Anchors
Erling Bellingham,20,Norway,Hoffenheim,Bundesliga,Midfielder,258.3,1.0,1.0,1647.0,88.7,72.4,48.8,20.6,1,Ball Winners
Nicolò Becker,29,Croatia,Arsenal,English Premier League,Forward,168.3,25.0,7.0,3034.0,76.1,15.2,3.6,38.9,2,Clinical Finishers
Eduardo Musiala,23,Scotland,Reims,Ligue 1,Winger,350.6,12.0,16.0,3389.0,75.0,35.7,17.4,125.8,0,Dynamic Wingers
Dominik De Bruyne,19,South Korea,Atletico Madrid,La Liga,Midfielder,93.2,1.0,0.0,459.0,80.5,9.5,11.1,9.1,3,Creative Playmakers
James Grimaldo,21,South Korea,Man United,English Premier League,Forward,168.3,9.0,1.0,1569.0,80.4,11.1,6.6,17.6,3,Creative Playmakers
Robert Kulusevski,32,Portugal,Freiburg,Bundesliga,Forward,22.0,7.0,1.0,1001.0,74.7,3.7,0.7,6.0,3,Creative Playmakers
Bernardo Griezmann,27,Egypt,Atletico Madrid,La Liga,Forward,220.3,11.0,3.0,1772.0,75.7,14.9,7.2,31.0,3,Creative Playmakers
Hakan Haaland,21,Portugal,Chelsea,English Premier League,Winger,210.2,6.0,8.0,2251.0,84.1,20.5,4.0,62.0,0,Dynamic Wingers
Martin Çalhanoğlu,31,Senegal,Girona,La Liga,Midfielder,26.4,5.0,5.0,2041.0,88.4,10.0,10.6,59.7,4,Defensive Anchors
Dušan Ødegaard,23,Georgia,Villarreal,La Liga,Midfielder,355.9,5.0,3.0,1571.0,86.6,43.7,33.8,26.0,4,Defensive Anchors
Jamal Isak,36,Denmark,Tottenham,English Premier League,Defender,36.2,0.0,0.0,2331.0,89.5,66.1,46.5,9.3,1,Ball Winners
Marc-André Osimhen,28,Spain,Man City,English Premier League,Winger,246.6,4.0,7.0,1365.0,78.7,6.9,8.8,35.2,3,Creative Playmakers
Bernardo Wirtz,29,Senegal,Wolfsburg,Bundesliga,Midfielder,70.7,6.0,3.0,2127.0,82.1,38.5,35.3,43.9,4,Defensive Anchors
William Martínez,26,Brazil,Valencia,La Liga,Forward,113.6,6.0,1.0,846.0,74.5,2.8,2.1,17.5,3,Creative Playmakers
Mohamed Xhaka,36,England,Napoli,Serie A,Defender,11.3,0.0,1.0,407.0,79.5,9.5,9.3,4.9,3,Creative Playmakers
Mike Garnacho,29,France,Juventus,Serie A,Midfielder,46.5,7.0,3.0,2049.0,81.6,37.7,53.3,39.1,1,Ball Winners
Alejandro Griezmann,26,Italy,Lazio,Serie A,Defender,231.5,1.0,0.0,1552.0,89.5,41.1,65.4,8.5,4,Defensive Anchors
Rasmus Tchouaméni,20,Norway,Werder Bremen,Bundesliga,Defender,224.1,0.0,4.0,1329.0,78.7,43.9,34.4,23.0,4,Defensive Anchors
Declan Guimarães,32,Italy,Werder Bremen,Bundesliga,Forward,42.4,14.0,4.0,1649.0,76.8,5.0,1.8,11.9,2,Clinical Finishers
Teun Müller,36,Georgia,Valencia,La Liga,Midfielder,18.7,2.0,4.0,2726.0,89.6,79.0,33.8,36.0,1,Ball Winners
Victor Kulusevski,24,Portugal,Aston Villa,English Premier League,Defender,401.7,0.0,3.0,2448.0,80.1,81.2,38.7,35.5,1,Ball Winners
Jack Min-son,31,Belgium,Leverkusen,Bundesliga,Midfielder,18.0,1.0,2.0,792.0,85.2,23.1,8.8,9.1,4,Defensive Anchors
William Oblak,20,Denmark,Bologna,Serie A,Forward,104.5,4.0,0.0,680.0,82.6,1.4,2.8,16.3,3,Creative Playmakers
Victor Grimaldo,24,Nigeria,Man United,English Premier League,Forward,211.4,14.0,3.0,1931.0,72.8,6.8,1.7,20.3,2,Clinical Finishers
Phil Saliba,28,Scotland,Fiorentina,Serie A,Midfielder,622.7,2.0,1.0,2781.0,89.9,126.9,65.7,21.9,1,Ball Winners
Trent Oblak,34,Poland,Stuttgart,Bundesliga,Midfielder,15.6,1.0,1.0,893.0,84.3,25.1,24.1,11.8,4,Defensive Anchors
Hakan Jota,25,Uruguay,Frankfurt,Bundesliga,Defender,454.0,0.0,0.0,2621.0,84.5,61.4,40.9,7.3,1,Ball Winners
Dominik Osimhen,21,Wales,Stuttgart,Bundesliga,Winger,215.3,11.0,8.0,1915.0,82.2,18.2,12.0,41.9,0,Dynamic Wingers
Rodri Saka,25,Denmark,Wolfsburg,Bundesliga,Forward,68.5,5.0,1.0,840.0,72.5,4.9,1.6,8.0,3,Creative Playmakers
Son Oblak,25,Argentina,Leverkusen,Bundesliga,Winger,318.2,12.0,9.0,2230.0,79.6,15.4,18.7,68.2,0,Dynamic Wingers
Vinicius Silva,24,Ireland,Man United,English Premier League,Forward,430.9,17.0,6.0,2127.0,71.7,6.9,5.4,28.8,2,Clinical Finishers
Rodri ter Stegen,33,Norway,Reims,Ligue 1,Midfielder,41.1,1.0,2.0,1387.0,82.0,57.4,47.4,5.4,4,Defensive Anchors
Christian Vlahović,21,Switzerland,Brest,Ligue 1,Midfielder,253.7,2.0,8.0,2859.0,87.2,48.6,36.1,70.6,0,Dynamic Wingers
Marcus Saliba,35,Denmark,West Ham,English Premier League,Midfielder,16.8,5.0,2.0,1963.0,86.3,32.6,39.3,21.8,4,Defensive Anchors
Dominik Grimaldo,32,Algeria,Nice,Ligue 1,Winger,7.4,1.0,2.0,448.0,83.0,1.9,9.6,19.1,3,Creative Playmakers
Jack Kvaratskhelia,29,France,Juventus,Serie A,Defender,118.3,1.0,1.0,3294.0,88.2,90.3,107.0,13.5,1,Ball Winners
Luis Osimhen,22,Netherlands,Leipzig,Bundesliga,Defender,155.9,1.0,0.0,1232.0,87.7,34.0,22.1,3.1,4,Defensive Anchors
Leroy Donnarumma,22,Brazil,Real Sociedad,La Liga,Defender,116.0,1.0,0.0,1232.0,87.4,25.3,37.1,6.6,4,Defensive Anchors
Gianluigi Silva,35,Portugal,Roma,Serie A,Winger,52.9,16.0,10.0,2932.0,78.1,26.8,14.3,136.4,0,Dynamic Wingers
Ederson Kulusevski,34,Uruguay,Leipzig,Bundesliga,Forward,58.5,19.0,3.0,2752.0,73.2,21.0,6.4,58.3,2,Clinical Finishers
Son Júnior,29,Argentina,Stuttgart,Bundesliga,Forward,81.8,14.0,6.0,2027.0,72.0,15.1,3.2,41.2,2,Clinical Finishers
Federico Griezmann,22,Netherlands,Lyon,Ligue 1,Defender,217.1,2.0,1.0,2964.0,84.2,94.4,96.1,6.9,1,Ball Winners
Declan Bellingham,34,Senegal,Werder Bremen,Bundesliga,Winger,41.7,8.0,4.0,1417.0,79.1,21.7,7.3,61.0,3,Creative Playmakers
Dušan Oblak,32,Ivory Coast,Fiorentina,Serie A,Midfielder,24.9,6.0,8.0,2114.0,91.4,30.9,24.2,63.9,0,Dynamic Wingers
Alex Griezmann,23,Egypt,Roma,Serie A,Forward,181.2,10.0,4.0,1342.0,70.2,6.5,5.4,25.8,3,Creative Playmakers
Vinicius Guimarães,26,Senegal,Napoli,Serie A,Winger,52.4,2.0,3.0,456.0,76.2,7.1,1.1,9.1,3,Creative Playmakers
Jamal Haaland,32,England,Lyon,Ligue 1,Defender,34.4,3.0,9.0,2635.0,83.3,51.7,49.7,53.1,1,Ball Winners
Mohamed Saliba,30,Uruguay,Atletico Madrid,La Liga,Midfielder,22.1,0.0,1.0,757.0,89.2,31.1,13.4,3.3,4,Defensive Anchors
Teun Wirtz,20,Brazil,Atalanta,Serie A,Forward,215.0,17.0,4.0,1988.0,72.9,2.7,3.2,26.7,2,Clinical Finishers
